ClefTemps,Temps,Heure,Minute,AM_PM,JourNuit,HeureCreuse
1,14:00,14,0,PM,Jour,Non
2,03:30,3,30,AM,Nuit,Oui
3,23:15,23,15,PM,Nuit,Oui
4,09:00,9,0,AM,Jour,Non
5,20:15,20,15,PM,Nuit,Non
6,09:45,9,45,AM,Jour,Non
7,15:15,15,15,PM,Jour,Non
8,09:30,9,30,AM,Jour,Non
9,12:30,12,30,PM,Jour,Non
10,19:15,19,15,PM,Nuit,Non
11,02:45,2,45,AM,Nuit,Oui
12,07:15,7,15,AM,Jour,Non
13,03:00,3,0,AM,Nuit,Oui
14,19:30,19,30,PM,Nuit,Non
15,16:45,16,45,PM,Jour,Non
16,18:00,18,0,PM,Jour,Non
17,15:00,15,0,PM,Jour,Non
18,18:30,18,30,PM,Jour,Non
19,08:45,8,45,AM,Jour,Non
20,12:00,12,0,PM,Jour,Non
21,09:45,9,45,AM,Jour,Non
22,17:30,17,30,PM,Jour,Non
23,03:45,3,45,AM,Nuit,Oui
24,14:30,14,30,PM,Jour,Non
25,20:30,20,30,PM,Nuit,Non
26,04:45,4,45,AM,Nuit,Oui
27,17:15,17,15,PM,Jour,Non
28,04:30,4,30,AM,Nuit,Oui
29,17:00,17,0,PM,Jour,Non
30,16:15,16,15,PM,Jour,Non
31,04:30,4,30,AM,Nuit,Oui
32,15:00,15,0,PM,Jour,Non
33,11:30,11,30,AM,Jour,Non
34,05:45,5,45,AM,Nuit,Oui
35,15:45,15,45,PM,Jour,Non
36,22:45,22,45,PM,Nuit,Non
37,10:00,10,0,AM,Jour,Non
38,20:45,20,45,PM,Nuit,Non
39,06:15,6,15,AM,Jour,Non
40,15:15,15,15,PM,Jour,Non
41,05:30,5,30,AM,Nuit,Oui
42,07:30,7,30,AM,Jour,Non
43,23:45,23,45,PM,Nuit,Oui
44,15:00,15,0,PM,Jour,Non
45,22:30,22,30,PM,Nuit,Non
46,09:30,9,30,AM,Jour,Non
47,03:30,3,30,AM,Nuit,Oui
48,21:30,21,30,PM,Nuit,Non
